condition_key,fold,seed,method,removal_fraction,removal_label,n_removed,auc,accuracy,baseline_auc_same_fold_seed,delta_auc_vs_baseline,checkpoint_sha256,fixed_epoch,epochs_executed,runtime_seconds,ranking_scope,outer_test_used_for_ranking_or_training,retrained_baseline_max_abs_error_vs_checkpoint,ranking_sha256,condition_status,attribution_auc,random_auc,paired_difference
fold06__seed42__integrated_gradients__10pct,6,42,integrated_gradients,0.1,10%,498,0.713541666667,0.670454545455,0.741145833333,-0.0276041666667,5c5df0dda5e48fdf8614837f053f4302a0230168508b4ec16bb6aacb1442167d,40,40,25.5260198116,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.713541666667,0.690104166667,0.0234375
fold06__seed42__random__10pct,6,42,random,0.1,10%,498,0.690104166667,0.602272727273,0.741145833333,-0.0510416666667,5c5df0dda5e48fdf8614837f053f4302a0230168508b4ec16bb6aacb1442167d,40,40,28.4115612507,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold06__seed43__unmodified_baseline__baseline,6,43,unmodified_baseline,,0%,0,0.696354166667,0.625,0.696354166667,0,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,55,55,41.1565725803,not_applicable,False,1.26882484908e-06,,COMPLETE,,,
fold06__seed43__gradient_x_input__5pct,6,43,gradient_x_input,0.05,5%,249,0.7171875,0.670454545455,0.696354166667,0.0208333333333,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,55,55,35.1660368443,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.7171875,0.661979166667,0.0552083333333
fold06__seed43__integrated_gradients__5pct,6,43,integrated_gradients,0.05,5%,249,0.70625,0.590909090909,0.696354166667,0.00989583333333,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,55,55,38.0244264603,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.70625,0.661979166667,0.0442708333333
fold06__seed43__random__5pct,6,43,random,0.05,5%,249,0.661979166667,0.613636363636,0.696354166667,-0.034375,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,55,55,40.7727601528,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold06__seed43__gradient_x_input__10pct,6,43,gradient_x_input,0.1,10%,498,0.725,0.647727272727,0.696354166667,0.0286458333333,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,55,55,35.0015950203,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.725,0.755729166667,-0.0307291666667
fold06__seed43__integrated_gradients__10pct,6,43,integrated_gradients,0.1,10%,498,0.7078125,0.602272727273,0.696354166667,0.0114583333333,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,55,55,38.8426380157,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.7078125,0.755729166667,-0.0479166666667
fold06__seed43__random__10pct,6,43,random,0.1,10%,498,0.755729166667,0.670454545455,0.696354166667,0.059375,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,55,55,41.0348336697,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold06__seed44__unmodified_baseline__baseline,6,44,unmodified_baseline,,0%,0,0.711458333333,0.647727272727,0.711458333333,0,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,10,10,6.56614232063,not_applicable,False,5.79256454747e-07,,COMPLETE,,,
fold06__seed44__gradient_x_input__5pct,6,44,gradient_x_input,0.05,5%,249,0.721875,0.693181818182,0.711458333333,0.0104166666667,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,10,10,6.49437475204,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.721875,0.697395833333,0.0244791666667
fold06__seed44__integrated_gradients__5pct,6,44,integrated_gradients,0.05,5%,249,0.724479166667,0.670454545455,0.711458333333,0.0130208333333,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,10,10,6.40310263634,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.724479166667,0.697395833333,0.0270833333333
fold06__seed44__random__5pct,6,44,random,0.05,5%,249,0.697395833333,0.647727272727,0.711458333333,-0.0140625,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,10,10,6.38138484955,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold06__seed44__gradient_x_input__10pct,6,44,gradient_x_input,0.1,10%,498,0.688020833333,0.670454545455,0.711458333333,-0.0234375,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,10,10,6.42352080345,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.688020833333,0.7,-0.0119791666667
