feature_index_zero_based,gxi_mean_absolute,ig_mean_absolute,gxi_rank_ascending,ig_rank_ascending,common_structural_zero
2280,0,0,1349,1349,True
2281,0.000598881510086,0.00191909132991,16330,16109,False
2282,5.12058431923e-05,0.000152314416482,12079,12020,False
2283,0.000639233156107,0.00215077935718,16617,16631,False
2284,4.09051754104e-05,0.000146248625242,11963,11993,False
2285,0.000249366363278,0.000887703383341,14010,14109,False
2286,0,0,1350,1350,True
2287,0,0,1351,1351,True
2288,0,0,1352,1352,True
2289,0.000909249880351,0.00315434485674,17966,18083,False
2290,0,0,1353,1353,True
2291,0.000155341593199,0.000524080125615,13287,13271,False
2292,0,0,1354,1354,True
2293,0,0,1355,1355,True
2294,0,0,1356,1356,True
2295,0.00176151655614,0.00583880208433,19423,19384,False
2296,0.00018633127911,0.000580177642405,13567,13453,False
2297,0.00057978881523,0.00192976766266,16169,16144,False
2298,0.00117118330672,0.0039552655071,18641,18658,False
2299,0,0,1357,1357,True
2300,0,0,1358,1358,True
2301,0.00104445940815,0.00360490684398,18364,18437,False
2302,0,0,1359,1359,True
2303,0,0,1360,1360,True
2304,0,0,1361,1361,True
2305,0.00079889013432,0.00275404495187,17518,17606,False
2306,0.000661584490445,0.00203565624543,16772,16409,False
2307,0,0,1362,1362,True
2308,0.00053654256044,0.00185354880523,15825,15952,False
2309,0,0,1363,1363,True
2310,0.000384131824831,0.00124056416098,14808,14714,False
2311,0,0,1364,1364,True
2312,0.000369210145436,0.00123556575272,14696,14705,False
2313,3.97153526137e-05,0.000122141951579,11944,11903,False
2314,0.000415239948779,0.0013676660601,14994,14954,False
2315,0,0,1365,1365,True
2316,0,0,1366,1366,True
2317,0.000750661885832,0.00231098034419,17290,16933,False
2318,0.000427052262239,0.00144799065311,15075,15115,False
2319,0.000662406149786,0.00225722952746,16782,16832,False
2320,0,0,1367,1367,True
2321,0,0,1368,1368,True
2322,0.00190711289179,0.00624256907031,19547,19511,False
2323,0,0,1369,1369,True
2324,0,0,1370,1370,True
